62.24.122.22 - root [15/Feb/2019:10:14:34 +0300] "GET /aua/assets/global/plugins/bootstrap-hover-dropdown/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1539
62.24.122.22 - root [15/Feb/2019:10:14:34 +0300] "GET /aua/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 5175
62.24.122.22 - root [15/Feb/2019:10:14:34 +0300] "GET /aua/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9544
62.24.122.22 - root [15/Feb/2019:10:14:34 +0300] "GET /aua/assets/global/plugins/jquery.cokie.min.js HTTP/1.1" 200 1392
62.24.122.22 - root [15/Feb/2019:10:14:35 +0300] "GET /aua/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
62.24.122.22 - root [15/Feb/2019:10:14:35 +0300] "GET /aua/assets/global/plugins/uniform/jquery.uniform.min.js HTTP/1.1" 200 8308
62.24.122.22 - root [15/Feb/2019:10:14:35 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
62.24.122.22 - root [15/Feb/2019:10:14:35 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.russia.js HTTP/1.1" 200 157651
62.24.122.22 - root [15/Feb/2019:10:14:36 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 200 60600
62.24.122.22 - root [15/Feb/2019:10:14:36 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/jquery.vmap.js HTTP/1.1" 200 27554
62.24.122.22 - root [15/Feb/2019:10:14:36 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.europe.js HTTP/1.1" 200 97655
62.24.122.22 - root [15/Feb/2019:10:14:37 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.germany.js HTTP/1.1" 200 55443
62.24.122.22 - root [15/Feb/2019:10:14:38 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47620
62.24.122.22 - root [15/Feb/2019:10:14:38 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/data/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/bootstrap-timepicker/js/bootstrap-timepicker.min.js HTTP/1.1" 200 17095
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/ckeditor/ckeditor.js HTTP/1.1" 200 527936
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/jquery-inputmask/jquery.inputmask.bundle.min.js HTTP/1.1" 200 54883
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 200 29180
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30657
62.24.122.22 - root [15/Feb/2019:10:14:39 +0300] "GET /aua/assets/global/plugins/select2/select2.min.js HTTP/1.1" 200 65979
62.24.122.22 - root [15/Feb/2019:10:14:40 +0300] "GET /aua/assets/global/plugins/morris/raphael-min.js HTTP/1.1" 200 91488
62.24.122.22 - root [15/Feb/2019:10:14:40 +0300] "GET /aua/assets/global/plugins/morris/morris.min.js HTTP/1.1" 200 35652
62.24.122.22 - root [15/Feb/2019:10:14:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/vendor/jquery.ui.widget.js HTTP/1.1" 200 15759
62.24.122.22 - root [15/Feb/2019:10:14:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/vendor/load-image.min.js HTTP/1.1" 200 16250
